순위,이름,경기,타율,타석,타수,안타,2루타,3루타,홈런,타점,득점,사사구,삼진,출루율,장타율,도루
555,신유록(중앙고),16,0.152,40,33,5,1,1,0,2,2,6,12,0.275,0.242,2
555,강민석(안산공고),23,0.152,81,66,10,3,0,0,8,7,12,15,0.282,0.197,3
557,최승준(부경고),15,0.151,63,53,8,5,0,0,1,6,10,14,0.286,0.245,1
558,박상현(강원고),14,0.15,48,40,6,3,0,1,5,2,7,16,0.277,0.3,0
558,김승민(신흥고),16,0.15,51,40,6,0,0,0,4,2,8,2,0.286,0.15,3
560,김성환(청원고),17,0.148,63,54,8,2,0,1,6,3,6,15,0.23,0.241,0
561,임준철(부경고),15,0.147,37,34,5,1,0,0,6,0,3,12,0.216,0.176,1
562,최우승(영문고),13,0.146,47,41,6,1,1,0,3,1,5,7,0.239,0.22,1
562,황준범(송탄제일고),18,0.146,58,48,7,1,1,0,3,11,9,10,0.281,0.208,3
562,송승빈(부천고),17,0.146,62,48,7,2,0,0,6,7,12,9,0.317,0.188,4
565,최주영(제물포고),16,0.143,41,35,5,2,0,0,3,5,4,8,0.231,0.2,2
565,조형규(부산공고),14,0.143,54,42,6,2,0,0,5,2,10,9,0.308,0.19,0
565,정유진(부산공고),14,0.143,54,42,6,0,1,0,2,6,9,16,0.283,0.19,2
565,정홍탁(마산고),15,0.143,49,35,5,1,0,0,2,4,13,6,0.375,0.171,2
569,김대원(효천고),17,0.14,61,43,6,0,1,1,8,3,13,9,0.339,0.256,1
569,구교빈(영선고),16,0.14,65,57,8,3,0,1,3,6,7,16,0.231,0.246,3
569,이재현(원주고),14,0.14,47,43,6,0,0,0,4,2,4,15,0.213,0.14,0
572,김세영(충암고),25,0.138,75,58,8,2,0,0,7,7,14,14,0.297,0.172,0
573,조용현(백송고),17,0.137,62,51,7,3,1,0,2,6,10,23,0.279,0.235,5
574,박재성(성남고),18,0.135,45,37,5,1,0,0,3,3,5,11,0.233,0.162,2
574,박성범(소래고),18,0.135,44,37,5,1,0,0,5,6,6,8,0.256,0.162,2
576,고주몽(부천고),17,0.133,55,45,6,0,0,0,4,3,7,12,0.25,0.133,2
577,정유성(백송고),17,0.132,48,38,5,0,0,0,2,5,7,16,0.267,0.132,3
578,위호연(청주고),14,0.129,39,31,4,1,0,0,3,4,6,4,0.27,0.161,0
578,김학진(야탑고),23,0.129,81,62,8,0,1,0,3,8,12,16,0.27,0.161,6
578,김대현(강원고),14,0.129,35,31,4,0,0,0,2,3,4,9,0.229,0.129,0
581,주한진(전주고),16,0.128,58,47,6,0,1,0,2,3,3,13,0.176,0.17,0
581,김시현(울산공고),13,0.128,46,39,5,1,0,0,3,2,5,19,0.227,0.154,0
581,박현수(글로벌선진학교),14,0.128,59,47,6,1,0,0,3,2,12,16,0.305,0.149,1
581,윤찬우(성지고),16,0.128,52,47,6,0,0,0,2,4,4,17,0.196,0.128,3
585,김태호(부산정보고),15,0.125,39,32,4,1,0,0,2,2,5,6,0.243,0.156,1
585,강영준(중앙고),16,0.125,60,48,6,1,0,0,4,3,11,7,0.288,0.146,0
585,김태호(영문고),13,0.125,43,40,5,0,0,0,1,2,3,15,0.186,0.125,0
588,손기현(중앙고),16,0.119,53,42,5,1,0,0,1,5,8,14,0.26,0.143,7
588,허고겸(인상고),17,0.119,53,42,5,0,0,0,5,4,8,10,0.26,0.119,1
590,김창현(대구고),14,0.118,47,34,4,0,1,0,3,5,9,18,0.295,0.176,0
590,채인석(설악고),19,0.118,47,34,4,1,0,0,4,3,9,10,0.295,0.147,4
592,곽기훈(군산상고),24,0.116,61,43,5,0,1,0,4,9,13,8,0.316,0.163,3
592,김범진(중앙고),16,0.116,58,43,5,1,0,0,3,3,15,5,0.345,0.14,2
592,강민구(전주고),16,0.116,56,43,5,0,0,0,2,7,8,18,0.255,0.116,1
595,이현국(마산고),15,0.115,39,26,3,0,0,0,2,4,8,6,0.314,0.115,4
