순위,이름,경기,타율,타석,타수,안타,2루타,3루타,홈런,타점,득점,사사구,삼진,출루율,장타율,도루
1022,박세훈(김해고),13,0,1,1,0,0,0,0,0,1,0,0,0,0,1
1022,김은빈(청주고),14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,김도윤(설악고),19,0,20,13,0,0,0,0,0,1,6,5,0.316,0,0
1022,윤수빈(전주고),16,0,2,2,0,0,0,0,0,0,0,1,0,0,0
1022,차병진(청담고),15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,김준호(진흥고),20,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1022,박동수(덕수고),30,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1022,변준혁(소래고),18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,신민근(원주고),14,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1022,우승헌(중앙고),16,0,2,2,0,0,0,0,0,0,0,1,0,0,0
1022,조선명(성지고),16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,김대원(충훈고),14,0,5,2,0,0,0,0,0,2,2,0,0.5,0,1
1022,최용준(부산공고),14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,고영민(강원고),14,0,3,3,0,0,0,0,0,0,0,1,0,0,0
1022,양창섭(덕수고),30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,윤기백(공주고),15,0,7,5,0,0,0,0,1,3,0,0,0,0,0
1022,조예찬(부천고),17,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1022,정현(인창고),14,0,15,11,0,0,0,0,2,0,3,2,0.2,0,0
1022,김민수(김해고),13,0,6,5,0,0,0,0,0,0,1,2,0.167,0,0
1022,주지완(제주고),17,0,1,0,0,0,0,0,1,0,1,0,1,0,0
1022,서명현(대구고),14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,한상엽(진영고),16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,신준혁(원주고),14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,이도현(동산고),24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,정해영(광주제일고),20,0,3,3,0,0,0,0,0,0,0,3,0,0,0
1022,마준혁(충훈고),14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,이금재(상원고),18,0,6,4,0,0,0,0,0,0,2,1,0.333,0,0
1022,손호진(송탄제일고),18,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1022,박준석(북일고),16,0,4,3,0,0,0,0,0,1,1,0,0.25,0,0
1022,조성훈(청원고),17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,서판규(인천고),20,0,4,4,0,0,0,0,0,1,0,1,0,0,1
1022,이재호(청담고),15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,김승민(서울디자인고),17,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1022,정기혁(진영고),16,0,15,12,0,0,0,0,0,1,3,7,0.2,0,2
1022,하성엽(울산공고),13,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1022,이동찬(배재고),18,0,9,8,0,0,0,0,0,0,1,5,0.111,0,0
1022,이효형(청담고),15,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1022,박주홍(광주제일고),20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,이승호(대구고),14,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1022,김근재(성남고),18,0,3,1,0,0,0,0,0,2,1,0,0.5,0,0
1022,김민(경동고),18,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1022,서우진(공주고),15,0,4,3,0,0,0,0,0,0,0,1,0,0,0
1022,윤강찬(김해고),13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,주민욱(울산공고),13,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1022,박기현(부산정보고),15,0,3,2,0,0,0,0,0,0,1,2,0.333,0,0
1022,강민형(영문고),13,0,10,8,0,0,0,0,0,1,2,5,0.2,0,1
1022,권도윤(인창고),14,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1022,박지승(상우고),15,0,13,10,0,0,0,0,0,1,3,4,0.231,0,0
1022,김상휘(대구고),14,0,4,4,0,0,0,0,0,0,0,1,0,0,0
1022,강성은(원주고),14,0,5,5,0,0,0,0,0,0,0,2,0,0,0
